job_id,title,employer,lang,english_flag,municipality,region,city,streetAddress,url,text_excerpt
30691593,Office cleaning; 50% position,Sveing AB,en,False,,,,,,"Office Cleaner – Stockholm City We are currently looking for a dedicated and experienced office cleaner to join our team in Stockholm. We offer permanent positions. As part of our cleaning team, you will help maintain a high standard of cleanliness and hygiene in modern, pleasant office environments..."
30691418,Experienced AI & Data Governance Specialist,Soros Consulting AB,en,False,,,,,,"Vi söker nu en erfaren AI och Data Governance-specialist till ett strategiskt viktigt uppdrag i en internationell miljö. Här får du möjlighet att påverka hur organisationen styr, utvecklar och implementerar data- och AI-arbete på ett ansvarsfullt, effektivt och regelrätt sätt. Detta är en roll för d..."
30691401,Cyber Security (IAM) Analyst Senior,Soros Consulting AB,en,False,,,,,,Vi söker nu en Senior Cyber Security (IAM) Analyst till ett uppdrag där du får en central roll i att driva integrationer mellan HR-system och Identity & Access Management (IAM)-landskapet. Detta är en nyckelroll där du fungerar som bryggan mellan HR och IAM och bidrar till en större företagsövergrip...
30691335,ERP Application Specialist at Tobii,Tobii AB,en,False,,,,,,"Tobii is the global leader in eye tracking and a pioneer in attention computing. For over two decades, we have developed technology that understands human attention and intent, enabling innovation across research, industry, gaming, XR and automotive. Headquartered in Stockholm and listed on Nasdaq S..."
30691277,Software Developer,Avaron AB,en,False,,,,,,Om företaget Avaron AB är ett växande konsultbolag som matchar din spetskompetens med marknadens mest intressanta uppdrag och erbjuder en plattform där din utveckling står i centrum. Om uppdraget Vi söker en Software Developer med gedigen kompetens inom CMS-programvara (Combat Management Systems) oc...
30691275,Junior Production Engineer – Circuit Board Assembly,Avaron AB,en,False,,,,,,Om företaget Avaron AB är ett växande konsultbolag som matchar din spetskompetens med marknadens mest intressanta uppdrag och erbjuder en plattform där din utveckling står i centrum. Om uppdraget Vi söker en junior produktionstekniker inom kretskortsmontage (circuit board assembly) till en organisat...
30691199,Account Manager till Chiller Sverige AB,Bravura Sverige AB,en,False,,,,,,"Har du teknisk kompetens inom VVS, kyla eller värmepumpslösningar och trivs i en roll där du kombinerar teknik med kundkontakt? Är du passionerad för försäljning, marknadsföring och att bygga upp starka kundrelationer? Chiller söker nu en resultatorienterad Account Manager för att stärka sitt säljte..."
30691097,Executive Communications Coordinator - World Leading Tech Company,Temp-Team Sverige AB,en,False,,,,,,"Ongoing, Temp-Team Sweden AB is supporting one of the world’s leading global organisations in finding an Executive Communications Coordinator consultant for an onsite role in Stockholm.  This is a great opportunity for someone early to mid in their communications career who wants to work closely wit..."
30690961,Total Rewards Analyst,H & M Hennes & Mauritz Gbc AB,en,False,,,,,,"Job Description   As a Total Rewards Analyst, you will act as a trusted expert in data management, reporting, and insights. You will be a key contributor to the successful execution of core rewards programs, deliver different types of compensation data analysis and prepare market and trend reporting..."
30690989,Sr. Frontend Engineer for Portfolio Brands,H & M Hennes & Mauritz Gbc AB,en,False,,,,,,"Job Description   WHAT YOU’LL DO​ We are seeking a talented Senior Front-End Engineer to join our dynamic team. As a Software Engineer, you are an experienced professional who leads complex projects, mentors junior team members, and contributes to the technical direction of our organization. In addi..."
